"Date","Line state","Last drop reason","US bitrate (Kbps)","DS bitrate (Kbps)","US FEC fast","DS FEC fast","US CRC fast","DS CRC fast","US HEC fast","DS HEC fast","US FEC interleaved","DS FEC interleaved","US CRC interleaved","DS CRC interleaved","US HEC interleaved","DS HEC interleaved","US line capacity (%)","DS line capacity (%)","US noise margin (dB)","DS noise margin (dB)","US output power (dBm)","DS output power (dBm)","US attenuation (dB)","DS attenuation (dB)","US errored seconds (ES)","DS errored seconds (ES)","US severly errored seconds (SES)","DS severly errored seconds (SES)","US unavailable seconds (UAS)","DS unavailable seconds (UAS)","TX ethernet packets","RX ethernet packets"
Feb 23 23:31:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.8,6.6,0.1,14.2,0.0,5.4,0,64,0,11,18,18,53807488,122347787
Feb 23 23:32:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.6,0.1,14.2,0.0,5.4,0,64,0,11,18,18,53837550,122401768
Feb 23 23:33:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.8,6.6,0.1,14.2,0.0,5.4,0,64,0,11,18,18,53865189,122461066
Feb 23 23:34:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.7,0.1,14.2,0.0,5.4,0,64,0,11,18,18,53890853,122511486
Feb 23 23:35:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.8,6.6,0.1,14.2,0.0,5.4,0,64,0,11,18,18,53919114,122566689
Feb 23 23:36:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.8,6.7,0.1,14.2,0.0,5.4,0,64,0,11,18,18,53945644,122619545
Feb 23 23:37:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.8,6.7,0.1,14.2,0.0,5.4,0,64,0,11,18,18,53972299,122674814
Feb 23 23:38:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.8,6.7,0.1,14.2,0.0,5.4,0,64,0,11,18,18,53987275,122708038
Feb 23 23:39:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.6,0.1,14.2,0.0,5.4,0,64,0,11,18,18,53991438,122716484
Feb 23 23:40:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.8,6.7,0.1,14.2,0.0,5.4,0,64,0,11,18,18,53995149,122727022
Feb 23 23:41:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.6,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54010327,122752375
